movie_id,title,release_year,director,imdb_rating,imdb_rank,metacritic_rating,metacritic_rank,rotten_tomato_rating,rotten_tomato_rank,actor1,character1,actor2,character2,actor3,character3,actor4,character4,actor5,character5,production_company_id,production_company,company_founding_year,headquarters_country,headquarters_city,imdb_url,metacritic_url,rotten_tomato_url,wikipedia_url
1579164841,On The Waterfront,1954,Elia Kazan,8.1,NA,91,NA,99,10,Marlon Brando,Terry Malloy,Lee J. Cobb,Johnny Friendly,Karl Malden,Father Barry,Rod Steiger,Charley 'The Gent' Malloy,Eva Marie Saint,Edie Doyle,541771269,Horizon Pictures,1947,United Kingdom,NA,https://www.imdb.com/title/tt0047296/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_on%2520the%2520wat,https://www.metacritic.com/movie/on-the-waterfront/,https://www.rottentomatoes.com/m/on_the_waterfront,https://en.wikipedia.org/wiki/On_the_Waterfront
348536626,The Battle of Algiers,1967,Gillo Pontecorvo,8.1,NA,96,NA,99,11,Jean Martin,Colonel Philippe Mathieu,Saadi Yacef,El-Hadi Jafar,Brahim Haggiag,Ali La Pointe,Tommaso Neri,Captain Dubois,Samia Kerbash,Fathia,608805325,Igor Film,NA,Italy,NA,https://www.imdb.com/title/tt0058946/?ref_=nv_sr_srsg_4_tt_8_nm_0_in_0_q_the%2520battle%2520of,https://www.metacritic.com/movie/the-battle-of-algiers/,https://www.rottentomatoes.com/m/the_battle_of_algiers,https://en.wikipedia.org/wiki/The_Battle_of_Algiers
1604333879,Toy Story   ,1995,John Lasseter,8.3,NA,96,NA,100,12,Tom Hanks,Woody,Tim Allen,Buzz Lightyear,Don Rickles,Mr. Potato Head,Jim Varney,Slinky Dog,Wallace Shawn,Rex,1997637385,Pixar Animation Studios,1986,United States,Emeryville CA,https://www.imdb.com/title/tt0114709/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_toy%2520sto,https://www.metacritic.com/movie/toy-story/,https://www.rottentomatoes.com/m/toy_story,https://en.wikipedia.org/wiki/Toy_Story
870673075,Rear Window,1954,Alfred Hitchcock,8.5,NA,100,11,98,13,James Stewart,L.B. Jeffries,Grace Kelly,Lisa Fremont,Wendell Corey,Tom Doyle,Thelma Ritter,Stella,Raymond Burr,Lars Thorwald,1974516274,Patron Inc.,NA,NA,NA,https://www.imdb.com/title/tt0047396/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_rear,https://www.metacritic.com/movie/rear-window/,https://www.rottentomatoes.com/m/1017289-rear_window,https://en.wikipedia.org/wiki/Rear_Window
1904087280,Modern Times,1936,Charlie Chaplin,8.5,NA,96,NA,98,14,Charlie Chaplin,Factory Worker 'The Tramp',Paulette Goddard,Ellen Peterson 'The Gamin',Henry Bergman,Cafe Owner,Stanley Sandford,Big Bill,Chester Conklin,Mechanic,1827073771,Charles Chaplin Productions,NA,NA,NA,https://www.imdb.com/title/tt0027977/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_modern%2520times,https://www.metacritic.com/movie/modern-times-re-release/,https://www.rottentomatoes.com/m/modern_times,https://en.wikipedia.org/wiki/Modern_Times_(film)
1599220560,How to Train Your Dragon,2010,Christopher Sanders/Dean DeBlois,8.1,NA,75,NA,99,15,Jay Baruchel,Hiccup,America Ferrera,Astrid,Gerard Butler,Stoick,Craig Ferguson,Gobber,Christopher Mintz-Plasse,Fishlegs,147781542,DreamWorks Animation,1994,United States,Glendale CA,https://www.imdb.com/title/tt26743210/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_how%2520to%2520train,https://www.metacritic.com/movie/how-to-train-your-dragon/,https://www.rottentomatoes.com/m/how_to_train_your_dragon,https://en.wikipedia.org/wiki/How_to_Train_Your_Dragon_(2010_film)
1154659227,All About Eve,1950,Joseph L. Mankiewics,8.2,NA,98,NA,99,16,Bette Davis,Margo Channing,Anne Baxter,Eve Harrington,George Sanders,Addison DeWitt,Celeste Holm,Karen Richards,Gary Merrill,Bill Sampson,1855449249,20th Century Fox,1935,United States,Los Angeles CA,https://www.imdb.com/title/tt0042192/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_all%2520about%2520eve,https://www.metacritic.com/movie/all-about-eve/,https://www.rottentomatoes.com/m/1000626-all_about_eve,https://en.wikipedia.org/wiki/All_About_Eve
304861570,Spirited Away,2002,Hayao Miyazaki,8.6,NA,96,NA,96,17,Daveigh Chase,Chihiro Ogino,Suzanne Pleshette,Yububa / Zeniba,Jason Marsden,Haku,Susan Egan,Lin,David Ogden Stiers,Kamaji,88360166,Studio Ghibli,1985,Japan,Tokyo,https://www.imdb.com/title/tt0245429/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_spirite,https://www.metacritic.com/movie/spirited-away/,https://www.rottentomatoes.com/m/spirited_away,https://en.wikipedia.org/wiki/Spirited_Away
1756517886,Up,2009,Pete Docter/Bob Peterson,8.3,NA,88,NA,98,18,Edward Asner,Carl Fredericksen,Jordan Nagai,Russel,John Ratzenberger,Construction Foreman,Christopher Plummer,Charles Muntz,Bob Peterson,Dug,1997637385,Pixar Animation Studios,1986,United States,Emeryville CA,https://www.imdb.com/title/tt1049413/?ref_=fn_al_tt_1,https://www.metacritic.com/movie/up/,https://www.rottentomatoes.com/m/up,https://en.wikipedia.org/wiki/Up_(2009_film)
2084554881,The Third Man,1949,Carol Reed,8.1,NA,97,NA,99,19,Orson Welles,The Third Man,Joseph Cotten,Holly Martins,Trevor Howard,Major Calloway,Alida Valli,Anna Schmidt,Paul Hoerbiger,Porter,923038318,London Films,1932,United Kingdom,Buckinghamshire,https://www.imdb.com/title/tt0041959/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_the%2520third%2520man,https://www.metacritic.com/movie/the-third-man/,https://www.rottentomatoes.com/m/the_third_man,https://en.wikipedia.org/wiki/The_Third_Man
460482582,Spotlight,2015,Tom McCarthy,8.1,NA,93,NA,97,20,Mark Ruffalo,Mike Rezendes,Michael Keaton,Walter 'Robby' Robinson,Rachel McAdams,Sacha Pfeiffer,Liev Schreiber,Marty Baron,John Slattery,Ben Bradlee Jr.,17518151,Participant Media,2004,United States,Los Angeles CA,https://www.imdb.com/title/tt1895587/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_spotlight,https://www.metacritic.com/movie/spotlight/,https://www.rottentomatoes.com/m/spotlight_2015,https://en.wikipedia.org/wiki/Spotlight_(film)
559276553,Spider-Man: Into the Spider-Verse,2018,Bob Persichetti/Peter Ramsey/Rodney Rothman,8.4,NA,87,NA,97,21,Shameik Moore,Miles Morales,Jake Johnson,Peter Parker,Hailee Steinfeld,Gwen Stacey,Mahershala Ali,Uncle Aaron,John Mulaney,Spider-Ham,608444546,Columbia Pictures,1918,United States,Culver City CA,https://www.imdb.com/title/tt4633694/?ref_=nv_sr_srsg_5_tt_8_nm_0_in_0_q_spiderman%2520into,https://www.metacritic.com/movie/spider-man-into-the-spider-verse/,https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse,https://en.wikipedia.org/wiki/Spider-Man:_Into_the_Spider-Verse
2097654371,The Philadelphia Story,1940,George Cukor,7.8,NA,96,NA,100,22,Katherine Hepburn,Tracy Lord,Cary Grant ,C.K. Dexter Haven,James Stewart,Macaulay 'Mike' Connor,Ruth Hussey,Elizabeth 'Liz' Imbrie,John Howard,George Kittredge,1604338439,Metro-Goldwyn-Mayer,1924,United States,Beverly Hills CA,https://www.imdb.com/title/tt0032904/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_the%2520philad,https://www.metacritic.com/movie/the-philadelphia-story/,https://www.rottentomatoes.com/m/philadelphia_story,https://en.wikipedia.org/wiki/The_Philadelphia_Story_(film)
79863599,Finding Nemo,2003,Andrew Stanton,8.2,NA,90,NA,99,23,Albert Brooks,Marlin,Ellen DeGeneres,Dory,Alexander Gould,Nemo,Willem Dafoe,Gill,Brad Garrett,Bloat,1997637385,Pixar Animation Studios,1986,United States,Emeryville CA,https://www.imdb.com/title/tt0266543/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_finding%2520nemo,https://www.metacritic.com/movie/finding-nemo/,https://www.rottentomatoes.com/m/finding_nemo,https://en.wikipedia.org/wiki/Finding_Nemo
893597994,Singin' in the Rain,1952,Stanley Donen / Gene Kelly,8.3,NA,99,15,100,24,Gene Kelly,Don Lockwood,Debbie Reynolds,Kathy Selden,Donald O'Conner,Cosmo Brown,Jean Hagen,Lina Lamont,Millard Mitchell,R.F. Simpson,1604338439,Metro-Goldwyn-Mayer,1924,United States,Beverly Hills CA,https://www.imdb.com/title/tt0045152/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_singin%2520in%2520the%2520rain,https://www.metacritic.com/movie/singin-in-the-rain/,https://www.rottentomatoes.com/m/singin_in_the_rain,https://en.wikipedia.org/wiki/Singin%27_in_the_Rain
1458767573,Dekalog,1988,Krzysztof Kieslowski,8.9,NA,100,1,NA,NA,Artur Barcis,Many characters,Olgierd Lukaszewics,Andrzej Geller,Olaf Lubaszenko,Tomek,Aleksander Bardini,Consultant,Krystyna Janda,Dorota Geller,1633552414,"Zespol Filmowy ""Tor""",1972,NA,NA,https://www.imdb.com/title/tt0092337/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_dekalo,https://www.metacritic.com/movie/dekalog-1988/,NA,https://en.wikipedia.org/wiki/Dekalog
1919595503,The Leopard,1963,Luchino Visconti,7.9,NA,100,3,98,NA,Burt Lancaster,Prince Don Fabrizio Salina,Claudi Cardinale,Angelica Sedara,Alain Delon,Tancredi Falconeri,Paolo Stoppa,Don Calogera Sedara,Rina Morelli,Princess Maria Stella Salina,899358178,Goffredo Lombardo,NA,NA,NA,https://www.imdb.com/title/tt0057091/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_the%2520leopard,https://www.metacritic.com/movie/the-leopard-re-release/,https://www.rottentomatoes.com/m/the_leopard_1963,https://en.wikipedia.org/wiki/The_Leopard_(1963_film)
1822561486,Lawrence of Arabia,1962,David Lean,8.3,NA,100,4,93,NA,Peter O'Toole,Lawrence,Alec Guinness,Prince Faisal,Anthony Quinn,Auda Abu Tayi,Jack Hawkins,General Edmund Allenby,Omar Sharif,Sherif Ali,541771269,Horizon Pictures,1947,United Kingdom,NA,https://www.imdb.com/title/tt0056172/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_lawrence%2520of%2520,https://www.metacritic.com/movie/lawrence-of-arabia-re-release/,https://www.rottentomatoes.com/m/lawrence_of_arabia,https://en.wikipedia.org/wiki/Lawrence_of_Arabia_(film)
1265595906,Tokyo Story,1972,Yasujiro Ozu,8.1,NA,100,5,100,NA,Chishu Ryu,Shukichi Hirayama,Chieko Higashiyama,Tomi Hirayama,Setsuko Hara,Noriko Hirayama,Haruko Sugimura,Shige Kaneko,So Yamamura,Koichi Hiryama,522770982,Shochiku,1895,Japan,Tokyo,https://www.imdb.com/title/tt0046438/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_tokyo%2520sto,https://www.metacritic.com/movie/tokyo-story/,https://www.rottentomatoes.com/m/tokyo_story,https://en.wikipedia.org/wiki/Tokyo_Story
263148316,Three Colors: Red,1994,Krzysztof Kieslowski,8.1,NA,100,6,100,NA,Irene Jacob,Valentine,Jean-Louis Trintignant,Le Juge,Frederique Feder,Karin,Jean-Pierre Lorit,Auguste,Samuel Le Bihan,Photographer,345812838,France 3 Cinema,1972,France,NA,https://www.imdb.com/title/tt0111495/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_three%2520colors%2520re,https://www.metacritic.com/movie/three-colors-red/,https://www.rottentomatoes.com/m/three_colors_red,https://en.wikipedia.org/wiki/Three_Colours:_Red
1384189524,The Conformist,1970,Bernardo Bertolucci,7.9,NA,100,7,98,NA,Jean-Louis Trintignant,Marcello Clerici,Stefania Sandrelli,Giulia,Gastone Moschin,Manganiello,Enzo Tarascio,Professor Quadri,Fosco Giachetti,Il Colonnello,245015782,Mars Film Produzione,NA,NA,NA,https://www.imdb.com/title/tt0065571/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_the%2520conformist,https://www.metacritic.com/movie/the-conformist-re-release/,https://www.rottentomatoes.com/m/the_conformist,https://en.wikipedia.org/wiki/The_Conformist_(1970_film)
888705962,Citizen Kane,1941,Orson Welles,8.3,NA,100,8,99,NA,Joseph Cotten,Jedediah Leland,Dorothy Comingore,Susan Alexander Kane,Agnes Moorehead,Mary Kane,Ruth Warrick,Emily Monroe Norton Kane,Ray Collins,James W. Gettys,309211795,RKO Radio Pictures,1929,United States,New York NY,https://www.imdb.com/title/tt0033467/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_citi,https://www.metacritic.com/movie/citizen-kane-1941/,https://www.rottentomatoes.com/m/citizen_kane,https://en.wikipedia.org/wiki/Citizen_Kane
1232541097,Boyhood,2014,Richard Linklater,7.9,NA,100,9,97,NA,Ellar Coltrane,Mason,Patricia Arquette,Olivia,Elijah Smith,Tommy,Lorelei Linklater,Samantha,Steven Chester Prince,Ted,890052322,IFC Productions,2000,United States,New York NY,https://www.imdb.com/title/tt1065073/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_boyhood,https://www.metacritic.com/movie/boyhood/,https://www.rottentomatoes.com/m/boyhood,https://en.wikipedia.org/wiki/Boyhood_(2014_film)
424396053,Vertigo,1958,Alfred Hitchcock,8.3,NA,100,12,93,NA,James Stewart,John 'Scottie' Ferguson,Kim Novak,Madeleine Elster / Judy Barton,Barbara Bel Geddes,Marjorie 'Midge' Wood,Tom Helmore,Gavin Elster,Henry Jones,Coroner,571409494,Alfred J Hitchcock Productions,NA,NA,NA,https://www.imdb.com/title/tt0052357/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_vertigo,https://www.metacritic.com/movie/vertigo-1958/,https://www.rottentomatoes.com/m/vertigo,https://en.wikipedia.org/wiki/Vertigo_(film)
987302716,Notorious,1946,Alfred Hitchcock,7.9,NA,100,13,96,NA,Cary Grant,Devlin,Ingrid Bergman,Alicia Huberman,Claude Rains,Alexander Sebastian,Louise Calhern,Paul Prescott,Leopoldine Konstantin,Madame Sebastian,309211795,RKO Radio Pictures,1929,United States,New York NY,https://www.imdb.com/title/tt0038787/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_notorio,https://www.metacritic.com/movie/notorious-1946/,https://www.rottentomatoes.com/m/1015287-notorious,https://en.wikipedia.org/wiki/Notorious_(1946_film)
755957868,Fanny & Alexander,1982,Ingmar Bergman,8.1,NA,100,14,100,NA,Kristina Adolphson,Siri ,Borje Ahlstedt,Carl Ekdahl,Pernilla Allwin,Fanny Ekdahl,Kristian Almgren,Putte Ekdahl,Carl Billquist,Polisintendent Jespersson,820649618,Gaumont SA,1895,France,Neuilly-sur-Seine,https://www.imdb.com/title/tt0083922/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_fanny%2520an,https://www.metacritic.com/movie/fanny-and-alexander-re-release/,https://www.rottentomatoes.com/m/fanny_and_alexander,https://en.wikipedia.org/wiki/Fanny_and_Alexander
1615377061,Playtime,1973,Jacques Tati,7.8,NA,99,16,98,NA,Jacques Tati,Monsieur Hulot,Barbara Dennek,Barbara,Rita Maiden,La compagne de M. Schultz,France Rumilly,La Vendeuse De Lunettes,France Delahalle,Un Cliente Dans Le Grand Magasin,1611288057,Spectra Films,NA,NA,NA,https://www.imdb.com/title/tt0062136/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_playtime,https://www.metacritic.com/movie/playtime/,https://www.rottentomatoes.com/m/playtime,https://en.wikipedia.org/wiki/Playtime
326674215,Touch of Evil,1958,Orson Welles,8,NA,99,17,97,NA,Charlton Heston,Mike Vargas,Janet Leigh,Susan Vargas,Orson Welles,Captain Hank Quinlan,Joseph Calleia,Sergeant Pete Menzies,Akim Tamiroff,Uncle' Joe Grandi,1312266509,Universal Pictures,1912,United States,Universal City CA,https://www.imdb.com/title/tt0052311/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_touch%2520of%2520e,https://www.metacritic.com/movie/touch-of-evil/,https://www.rottentomatoes.com/m/touch_of_evil,https://en.wikipedia.org/wiki/Touch_of_Evil
407910799,Army of Shadows,1969,Jean-Pierre Melville,8.1,NA,99,18,97,NA,Lino Ventura,Philippe Gerbier,Paul Meurisse,Luc Jardie,Jean-Pierre Cassel,Jean Francois Jardie,Simone Signoret,Mathilde,Claude Mann,Claude Ullmann Dit 'Le Masque',255914755,Les Films Corona,NA,NA,NA,https://www.imdb.com/title/tt0064040/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_army%2520of%2520sha,https://www.metacritic.com/movie/army-of-shadows/,https://www.rottentomatoes.com/m/army_of_shadows,https://en.wikipedia.org/wiki/Army_of_Shadows
424735752,City Lights,1931,Charlie Chaplin,8.5,NA,99,19,95,NA,Charlie Chaplin,A Tramp,Virginia Cherrill,Blind Girl,Florrence Lee,Blind Girl's Grandmother,Harry Myers,Eccentric Millionaire,Al Ernest Garcia,Millionaire's Butler,1827073771,Charles Chaplin Productions,NA,NA,NA,https://www.imdb.com/title/tt0021749/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_city%2520lights,https://www.metacritic.com/movie/city-lights/,https://www.rottentomatoes.com/m/city_lights,https://en.wikipedia.org/wiki/City_Lights
1024068360,Moonlight,2016,Barry Jenkins,7.4,NA,99,20,98,NA,Mahershala Ali,Juan,Shariff Earp,Terrence,Duan Sanderson,Azu,Alex R. Hibbert,Little,Janelle Monae,Teresa,960784990,A24,2012,United States,New York NY,https://www.imdb.com/title/tt4975722/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_moonli,https://www.metacritic.com/movie/moonlight-2016/,https://www.rottentomatoes.com/m/moonlight_2016,https://en.wikipedia.org/wiki/Moonlight_(2016_film)
336048821,Intolerance,1916,D.W. Griffith,7.7,NA,99,21,98,NA,Lillian Gish,Eternal Mother,Mae Marsh,The Dear One,Robert Harron,The Boy,F.A. Turner,The Dear One's Father,Sam De Grasse,Arthur Jenkins,206244866,D. W. Griffith,NA,NA,NA,https://www.imdb.com/title/tt0006864/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_intolerance,https://www.metacritic.com/movie/intolerance/,https://www.rottentomatoes.com/m/1010644-intolerance,https://en.wikipedia.org/wiki/Intolerance_(film)
401123580,The Rules of the Game,1939,Jean Renior,7.9,NA,99,22,97,NA,Nora Gregor,Christine De La Cheyniest,Paulette Dubost,Lisette,Mila Parely,Genevieve De Marras,Odette Talazac,Madame De La Plante,Claire Gerard,Madame De La Bruyere,1857522484,Nouvelle Edition Francaise,NA,NA,France,https://www.imdb.com/title/tt0031885/?ref_=nv_sr_srsg_3_tt_3_nm_5_in_0_q_the%2520rules%2520of%2520the,https://www.metacritic.com/movie/the-rules-of-the-game/,https://www.rottentomatoes.com/m/the_rules_of_the_game,https://en.wikipedia.org/wiki/The_Rules_of_the_Game
1348419192,Pinocchio,1940,Norman Ferguson/T. Hee/Wilfred Jackson/Jack Kinney,7.5,NA,99,23,100,NA,Dickie Jones,Pinocchio,Mel Blanc,Gideon,Cliff Edwards,Jimini Cricket,Walter Catlett,J. Worthington Foulfellow,Frankie Darro,Lampwick,1288370075,Walt Disney Productions,1923,United States,Burbank CA,https://www.imdb.com/title/tt0032910/?ref_=nv_sr_srsg_6_tt_8_nm_0_in_0_q_pinocch,https://www.metacritic.com/movie/pinocchio-1940/,https://www.rottentomatoes.com/m/pinocchio_1940,https://en.wikipedia.org/wiki/Pinocchio_(1940_film)
598288868,The Wild Bunch,1969,Sam Peckinpah,7.9,NA,98,25,91,NA,William Holden,Pike,Ernest Borgnine,Dutch,Robert Ryan,Thornton,Edmond O'Brien,Sykes,Warren Oates,Lyle Gorch,119802444,Warner Bros.-Seven Arts,1967,United States,Burbank CA,https://www.imdb.com/title/tt0065214/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_the%2520wild%2520b,https://www.metacritic.com/movie/the-wild-bunch/,https://www.rottentomatoes.com/m/1059489-wild_bunch,https://en.wikipedia.org/wiki/The_Wild_Bunch
